
Quadro extraído em 14 de Abril de 2020 (22:15:40)
http://www.ine.pt



Período de referência dos dados;Local de residência;Grupo etário;Sexo;Nível de escolaridade mais elevado completo;Taxa de desemprego (Série 2011 - %) por Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Trimestral (1) ;
;;;;;% ;
4.º Trimestre de 2019;PT: Portugal;Total;HM;Total;6,7;
3.º Trimestre de 2019;PT: Portugal;Total;HM;Total;6,1;
2.º Trimestre de 2019;PT: Portugal;Total;HM;Total;6,3;
1.º Trimestre de 2019;PT: Portugal;Total;HM;Total;6,8;
4.º Trimestre de 2018;PT: Portugal;Total;HM;Total;6,7;
3.º Trimestre de 2018;PT: Portugal;Total;HM;Total;6,7;
2.º Trimestre de 2018;PT: Portugal;Total;HM;Total;6,7;
1.º Trimestre de 2018;PT: Portugal;Total;HM;Total;7,9;
4.º Trimestre de 2017;PT: Portugal;Total;HM;Total;8,1;
3.º Trimestre de 2017;PT: Portugal;Total;HM;Total;8,5;
2.º Trimestre de 2017;PT: Portugal;Total;HM;Total;8,8;
1.º Trimestre de 2017;PT: Portugal;Total;HM;Total;10,1;
4.º Trimestre de 2016;PT: Portugal;Total;HM;Total;10,5;
3.º Trimestre de 2016;PT: Portugal;Total;HM;Total;10,5;
2.º Trimestre de 2016;PT: Portugal;Total;HM;Total;10,8;
1.º Trimestre de 2016;PT: Portugal;Total;HM;Total;12,4;
4.º Trimestre de 2015;PT: Portugal;Total;HM;Total;12,2;
3.º Trimestre de 2015;PT: Portugal;Total;HM;Total;11,9;
2.º Trimestre de 2015;PT: Portugal;Total;HM;Total;11,9;
1.º Trimestre de 2015;PT: Portugal;Total;HM;Total;13,7;
4.º Trimestre de 2014;PT: Portugal;Total;HM;Total;13,5;
3.º Trimestre de 2014;PT: Portugal;Total;HM;Total;13,1;
2.º Trimestre de 2014;PT: Portugal;Total;HM;Total;13,9;
1.º Trimestre de 2014;PT: Portugal;Total;HM;Total;15,1;
4.º Trimestre de 2013;PT: Portugal;Total;HM;Total;15,3;
3.º Trimestre de 2013;PT: Portugal;Total;HM;Total;15,5;
2.º Trimestre de 2013;PT: Portugal;Total;HM;Total;16,4;
1.º Trimestre de 2013;PT: Portugal;Total;HM;Total;17,5;
4.º Trimestre de 2012;PT: Portugal;Total;HM;Total;16,8;
3.º Trimestre de 2012;PT: Portugal;Total;HM;Total;15,7;
2.º Trimestre de 2012;PT: Portugal;Total;HM;Total;14,9;
1.º Trimestre de 2012;PT: Portugal;Total;HM;Total;14,8;
4.º Trimestre de 2011;PT: Portugal;Total;HM;Total;13,9;
3.º Trimestre de 2011;PT: Portugal;Total;HM;Total;12,4;
2.º Trimestre de 2011;PT: Portugal;Total;HM;Total;12,1;
1.º Trimestre de 2011;PT: Portugal;Total;HM;Total;12,4;

Taxa de desemprego (Série 2011 - %) por Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Trimestral - INE, Inquérito ao emprego

Nota(s):
(1) Valores calibrados tendo por referência as estimativas da população calculadas a partir dos resultados definitivos dos Censos 2011.



Última atualização destes dados: 05 de fevereiro de 2020


Metainformação associada ao quadro

Taxa de desemprego (Série 2011 - %)
Designação;Taxa de desemprego (Série 2011 - %) por Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Inquérito ao emprego
Primeiro período disponível;1.º Trimestre de 2011
Último período disponível;4.º Trimestre de 2019
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Local de residência
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
     Dimensão 5;Nível de escolaridade mais elevado completo
Conceitos
     POPULAÇÃO ATIVA;Conjunto de indivíduos com idade mínima de 15 anos que, no período de referência, constituíam a mão-de-obra disponível para a produção de bens e serviços que entram no circuito económico (empregados e desempregados).
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     NÍVEL DE ESCOLARIDADE;Nível ou grau de ensino mais elevado que o indivíduo concluiu ou para o qual obteve equivalência, e em relação ao qual tem direito ao respetivo certificado ou diploma.
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     TAXA DE DESEMPREGO;Taxa que permite definir o peso da população desempregada sobre o total da população ativa.
Definição;
Fórmula;(População desempregada/ População ativa)*100
Unidade de Medida (símbolo);Percentagem (%)
Potência de 10;0
Data da última atualização;05-Feb-2020
